accommodates,bathrooms,bedrooms,beds,price,guests_included,availability_365,number_of_reviews,review_scores_rating,clusters,cluster
2,1.0,1.0,1.0,99.0,2,0,15,90.0,0,pink
2,1.0,1.0,1.0,99.0,1,0,2,90.0,0,pink
4,1.5,2.0,3.0,180.0,1,334,13,93.0,3,
2,1.0,1.0,1.0,129.0,1,365,39,99.0,3,
3,1.0,1.0,2.0,114.0,2,163,150,97.0,3,
4,1.0,2.0,3.0,150.0,1,352,14,97.0,3,
2,1.0,1.0,1.0,265.0,2,330,1,100.0,3,
4,1.0,2.0,2.0,170.0,2,237,187,94.0,3,
2,1.0,1.0,2.0,100.0,2,8,104,93.0,0,pink
4,1.0,1.0,2.0,165.0,4,35,82,97.0,0,pink
4,1.0,2.0,2.0,125.0,2,0,16,91.0,0,pink
2,1.5,1.0,1.0,175.0,2,0,2,100.0,0,pink
4,1.0,1.0,2.0,100.0,2,114,107,95.0,0,pink
2,1.0,1.0,1.0,80.0,1,0,17,98.0,0,pink
2,0.5,1.0,1.0,86.0,2,6,540,96.0,0,pink
4,1.5,2.0,4.0,400.0,4,10,56,94.0,1,purple
2,1.0,1.0,1.0,119.0,2,250,289,97.0,3,
4,1.0,2.0,2.0,120.0,2,0,37,94.0,0,pink
2,1.0,1.0,1.0,70.0,2,0,97,89.0,0,pink
4,1.0,3.0,4.0,449.0,1,169,13,97.0,1,purple
2,1.0,1.0,1.0,175.0,2,1,47,94.0,0,pink
2,1.0,1.0,1.0,149.0,1,187,358,98.0,3,
2,1.0,1.0,1.0,193.0,2,0,77,97.0,0,pink
2,1.0,1.0,1.0,145.0,1,306,65,98.0,3,
2,1.0,1.0,1.0,250.0,1,32,42,98.0,0,pink
2,1.0,1.0,1.0,115.0,2,99,88,96.0,0,pink
2,1.0,1.0,1.0,188.0,2,362,2,100.0,3,
4,1.0,2.0,4.0,150.0,2,102,60,97.0,0,pink
2,1.0,1.0,1.0,100.0,1,0,4,100.0,0,pink
5,2.0,4.0,6.0,168.0,4,14,6,93.0,0,pink
4,1.0,1.0,1.0,8000.0,2,364,8,72.0,2,dark purple
2,1.0,1.0,1.0,99.0,2,0,26,96.0,0,pink
4,2.0,2.0,4.0,225.0,2,0,38,96.0,0,pink
2,1.0,1.0,2.0,73.0,2,0,14,94.0,0,pink
2,1.0,1.0,1.0,96.0,2,62,103,96.0,0,pink
4,1.0,2.0,2.0,190.0,1,90,4,100.0,0,pink
4,1.0,1.0,4.0,100.0,2,351,1,100.0,3,
2,1.5,1.0,1.0,85.0,2,16,20,98.0,0,pink
2,1.0,1.0,2.0,125.0,2,293,4,100.0,3,
1,1.0,0.0,1.0,900.0,2,0,173,93.0,1,purple
4,1.0,1.0,2.0,110.0,2,182,9,93.0,3,
2,1.0,1.0,1.0,120.0,2,0,6,100.0,0,pink
2,1.0,1.0,1.0,125.0,2,30,37,98.0,0,pink
2,1.0,1.0,1.0,169.0,2,364,22,97.0,3,
2,1.0,1.0,1.0,125.0,2,0,20,98.0,0,pink
3,1.0,2.0,2.0,74.0,1,80,141,95.0,0,pink
3,1.5,2.0,3.0,115.0,2,0,3,100.0,0,pink
12,1.5,5.0,12.0,650.0,4,360,97,91.0,1,purple
4,1.0,2.0,2.0,105.0,2,319,30,88.0,3,
2,1.0,1.0,1.0,115.0,2,331,16,97.0,3,
2,1.0,1.0,1.0,150.0,1,274,245,98.0,3,
2,1.0,0.0,1.0,90.0,1,44,177,95.0,0,pink
2,1.0,1.0,1.0,150.0,1,287,283,97.0,3,
2,1.0,1.0,1.0,95.0,1,0,8,93.0,0,pink
2,1.0,1.0,1.0,89.0,2,337,187,97.0,3,
2,1.0,1.0,1.0,105.0,2,338,23,95.0,3,
3,1.0,2.0,3.0,74.0,1,0,5,92.0,0,pink
1,1.0,0.0,1.0,900.0,2,0,166,95.0,1,purple
4,1.0,1.0,1.0,175.0,2,0,14,96.0,0,pink
3,1.0,2.0,3.0,164.0,2,85,4,100.0,0,pink
2,1.0,1.0,1.0,117.0,2,0,83,97.0,0,pink
1,0.0,1.0,1.0,45.0,1,74,9,97.0,0,pink
4,1.0,1.0,2.0,125.0,2,0,83,96.0,0,pink
5,1.0,2.0,3.0,126.0,3,0,14,97.0,0,pink
3,1.0,1.0,1.0,155.0,1,106,79,94.0,0,pink
4,1.0,2.0,2.0,550.0,4,103,3,93.0,1,purple
4,1.0,1.0,4.0,295.0,2,360,121,98.0,3,
4,1.5,2.0,2.0,195.0,1,0,11,93.0,0,pink
3,1.5,2.0,2.0,130.0,2,67,6,100.0,0,pink
16,2.0,10.0,16.0,464.0,8,124,87,97.0,1,purple
2,1.0,1.0,1.0,90.0,1,71,25,94.0,0,pink
2,1.5,1.0,2.0,135.0,2,354,61,89.0,3,
2,1.0,1.0,1.0,169.0,2,0,28,96.0,0,pink
2,1.0,0.0,1.0,200.0,2,362,72,94.0,3,
2,1.0,1.0,1.0,100.0,1,0,53,94.0,0,pink
2,1.0,1.0,1.0,115.0,2,333,9,100.0,3,
2,1.0,1.0,1.0,124.0,1,30,48,92.0,0,pink
2,1.0,1.0,1.0,111.0,2,9,34,98.0,0,pink
2,1.0,1.0,1.0,200.0,2,0,9,98.0,0,pink
4,1.5,2.0,2.0,107.0,2,166,46,98.0,3,
4,1.0,1.0,2.0,169.0,2,139,215,94.0,3,
4,1.0,2.0,2.0,88.0,2,0,32,95.0,0,pink
2,1.0,0.0,1.0,80.0,1,0,24,96.0,0,pink
